Feature,Channel,Band,Importance
AF3_Delta,AF3,Delta,0.0
AF3_Theta,AF3,Theta,0.0
AF3_Alpha,AF3,Alpha,0.0
AF3_Beta,AF3,Beta,0.0
AF3_Gamma,AF3,Gamma,0.0
F7_Delta,F7,Delta,0.0
F7_Theta,F7,Theta,0.0
F7_Alpha,F7,Alpha,0.0
F7_Beta,F7,Beta,0.0
F7_Gamma,F7,Gamma,0.0
F3_Delta,F3,Delta,0.0
F3_Theta,F3,Theta,0.0
F3_Alpha,F3,Alpha,0.0
F3_Beta,F3,Beta,0.0
F3_Gamma,F3,Gamma,0.0
FC5_Delta,FC5,Delta,0.0
FC5_Theta,FC5,Theta,0.0
FC5_Alpha,FC5,Alpha,0.0
FC5_Beta,FC5,Beta,0.0
FC5_Gamma,FC5,Gamma,0.0
T7_Delta,T7,Delta,0.0
T7_Theta,T7,Theta,0.0
T7_Alpha,T7,Alpha,0.0
T7_Beta,T7,Beta,0.0
T7_Gamma,T7,Gamma,0.0
P7_Delta,P7,Delta,0.0
P7_Theta,P7,Theta,0.0
P7_Alpha,P7,Alpha,0.0
P7_Beta,P7,Beta,0.0
P7_Gamma,P7,Gamma,0.0
O1_Delta,O1,Delta,0.0
O1_Theta,O1,Theta,0.0
O1_Alpha,O1,Alpha,0.0
O1_Beta,O1,Beta,0.0
O1_Gamma,O1,Gamma,0.0
O2_Delta,O2,Delta,0.0
O2_Theta,O2,Theta,0.0
O2_Alpha,O2,Alpha,0.0
O2_Beta,O2,Beta,0.0
O2_Gamma,O2,Gamma,0.0
P8_Delta,P8,Delta,0.0
P8_Theta,P8,Theta,0.0
P8_Alpha,P8,Alpha,0.0
P8_Beta,P8,Beta,0.0
P8_Gamma,P8,Gamma,0.0
T8_Delta,T8,Delta,0.0
T8_Theta,T8,Theta,0.0
T8_Alpha,T8,Alpha,0.0
T8_Beta,T8,Beta,0.0
T8_Gamma,T8,Gamma,0.0
FC6_Delta,FC6,Delta,0.0
FC6_Theta,FC6,Theta,0.0
FC6_Alpha,FC6,Alpha,0.0
FC6_Beta,FC6,Beta,0.0
FC6_Gamma,FC6,Gamma,0.0
F4_Delta,F4,Delta,0.0
F4_Theta,F4,Theta,0.0
F4_Alpha,F4,Alpha,0.0
F4_Beta,F4,Beta,0.0
F4_Gamma,F4,Gamma,0.0
F8_Delta,F8,Delta,0.0
F8_Theta,F8,Theta,0.0
F8_Alpha,F8,Alpha,0.0
F8_Beta,F8,Beta,0.0
F8_Gamma,F8,Gamma,0.0
AF4_Delta,AF4,Delta,0.0
AF4_Theta,AF4,Theta,0.0
AF4_Alpha,AF4,Alpha,0.0
AF4_Beta,AF4,Beta,0.0
AF4_Gamma,AF4,Gamma,0.0
